Total Size (X, Y): 90 x 90
Considering Position <8, 39> at step 532
Considering Position <7, 40> at step 532
Considering Position <6, 39> at step 532
Considering Position <29, 52> at step 533
Considering Position <28, 53> at step 533
Considering Position <25, 56> at step 534
Considering Position <20, 59> at step 535
Considering Position <19, 58> at step 535
Considering Position <30, 52> at step 537
Considering Position <29, 53> at step 537
Considering Position <29, 51> at step 537
Considering Position <29, 53> at step 538
Considering Position <28, 54> at step 538
Considering Position <26, 56> at step 539
Considering Position <25, 57> at step 539
Considering Position <24, 56> at step 539
Considering Position <21, 59> at step 540
Considering Position <20, 60> at step 540
Considering Position <30, 53> at step 541
Considering Position <30, 53> at step 542
Considering Position <28, 55> at step 543
Considering Position <27, 54> at step 543
Considering Position <27, 56> at step 544
Considering Position <8, 40> at step 545
Considering Position <8, 38> at step 545
Considering Position <8, 40> at step 546
Considering Position <7, 41> at step 546
Considering Position <30, 54> at step 547
Considering Position <6, 19> at step 548
Considering Position <7, 18> at step 548
Considering Position <21, 21> at step 549
Considering Position <22, 20> at step 549
Considering Position <22, 57> at step 552
Considering Position <21, 56> at step 552
Considering Position <29, 28> at step 553
Considering Position <27, 28> at step 553
Considering Position <28, 27> at step 553
Considering Position <9, 36> at step 555
Considering Position <13, 60> at step 556
Considering Position <12, 61> at step 556
Considering Position <16, 59> at step 557
Considering Position <15, 60> at step 557
Considering Position <32, 39> at step 559
Considering Position <18, 58> at step 560
Considering Position <17, 59> at step 562
Considering Position <33, 39> at step 563
Considering Position <32, 40> at step 563
Considering Position <32, 38> at step 563
Considering Position <23, 57> at step 564
Considering Position <22, 58> at step 564
Considering Position <27, 55> at step 565
Considering Position <33, 40> at step 566
Considering Position <22, 59> at step 567
Considering Position <25, 22> at step 568
Considering Position <24, 21> at step 568
Considering Position <18, 59> at step 569
Considering Position <17, 60> at step 569
Considering Position <9, 42> at step 570
Considering Position <28, 23> at step 571
Considering Position <30, 33> at step 572
Considering Position <3, 23> at step 573
Considering Position <4, 22> at step 573
Considering Position <18, 60> at step 575
Considering Position <17, 61> at step 575
Considering Position <8, 43> at step 576
Considering Position <9, 42> at step 576
Considering Position <25, 52> at step 577
Considering Position <24, 51> at step 577
Considering Position <30, 34> at step 579
Considering Position <29, 33> at step 579
Considering Position <4, 22> at step 580
Considering Position <27, 27> at step 581
Considering Position <32, 49> at step 582
Considering Position <31, 34> at step 583
Considering Position <30, 35> at step 583
Considering Position <18, 60> at step 584
